time_s,event,details
0.05,BLOCK_COMMIT_DONE,block=1,items=0,lat=0.050000
0.901062,DATA_DROP_SIG,rx=1,sender=0,nonce=900000000
0.901062,DATA_DROP_SIG,rx=3,sender=0,nonce=900000000
0.901062,DATA_DROP_SIG,rx=2,sender=0,nonce=900000000
0.901062,DATA_DROP_SIG,rx=5,sender=0,nonce=900000000
0.901062,DATA_DROP_SIG,rx=8,sender=0,nonce=900000000
0.901062,DATA_DROP_SIG,rx=10,sender=0,nonce=900000000
0.901062,DATA_DROP_SIG,rx=4,sender=0,nonce=900000000
0.901062,DATA_DROP_SIG,rx=9,sender=0,nonce=900000000
0.901062,DATA_DROP_SIG,rx=7,sender=0,nonce=900000000
0.901062,DATA_DROP_SIG,rx=11,sender=0,nonce=900000000
0.901062,DATA_DROP_SIG,rx=6,sender=0,nonce=900000000
1,REPORT_SENT,by=0,about=2,delta=0.010000
1,REPORT_SENT,by=1,about=0,delta=0.010000
1,REPORT_SENT,by=2,about=6,delta=0.010000
1,REPORT_SENT,by=3,about=6,delta=0.010000
1,REPORT_SENT,by=4,about=8,delta=0.010000
1,REPORT_SENT,by=5,about=2,delta=-0.050000
1,REPORT_SENT,by=6,about=7,delta=0.010000
1,REPORT_SENT,by=7,about=5,delta=0.010000
1,REPORT_SENT,by=8,about=1,delta=-0.050000
1,REPORT_SENT,by=9,about=1,delta=0.010000
1,HO_START,veh=3,from=0,to=1,trust=0.800000
1.00065,REPORT_RX_RSU,rsu=10,by=0,about=2,delta=0.010000
1.00138,DATA_DROP_REPLAY,rx=1,sender=0,nonce=900000000
1.00138,DATA_DROP_REPLAY,rx=3,sender=0,nonce=900000000
1.00138,DATA_DROP_REPLAY,rx=2,sender=0,nonce=900000000
1.00138,DATA_DROP_REPLAY,rx=5,sender=0,nonce=900000000
1.00138,DATA_DROP_REPLAY,rx=8,sender=0,nonce=900000000
1.00138,DATA_DROP_REPLAY,rx=10,sender=0,nonce=900000000
1.00138,DATA_DROP_REPLAY,rx=4,sender=0,nonce=900000000
1.00138,DATA_DROP_REPLAY,rx=9,sender=0,nonce=900000000
1.00138,DATA_DROP_REPLAY,rx=7,sender=0,nonce=900000000
1.00138,DATA_DROP_REPLAY,rx=11,sender=0,nonce=900000000
1.00138,DATA_DROP_REPLAY,rx=6,sender=0,nonce=900000000
1.00177,REPORT_RX_RSU,rsu=10,by=5,about=2,delta=-0.050000
1.00258,REPORT_RX_RSU,rsu=10,by=8,about=1,delta=-0.050000
1.00366,REPORT_RX_RSU,rsu=10,by=1,about=0,delta=0.010000
1.00466,REPORT_RX_RSU,rsu=10,by=4,about=8,delta=0.010000
