nVehicles,nRsu,simTime,rsuCoverageRadius,intervalMs,payloadSize,cryptoDelayUsTx,cryptoDelayUsRx,txAllVehicles,enableReplayCheck,enableSigCheck,enableReports,enableBlockchain,enableTrustGate,attackMode,maliciousRate,txData,rxVehData,rxRsuData,expectedRx,pdr_norm,avgDelay_s,throughput_bps,replayDrops,sigDrops,reportsSent,reportsRxAtRsu,blocks,reportsCommitted,avgBlockLatency_s,avgLedgerTrust,handoverCount,avgHandoverDelay_s,fastAuthCount,fullAuthCount,rejectCount,trustFastThresh,trustMinThresh,fastAuthDelayMs,fullAuthDelayMs,malFast,malFull,malReject,honFast,honFull,honReject,mineDelayMs,seed,avgBlockLatency_ms
12.0,2.0,25.0,300.0,100.0,64.0,200.0,200.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.4,2940.0,26411.0,4802.0,32340.0,0.816667,0.000743007,777540.0,0.0,6370.0,5390.0,1960.0,101.0,1944.0,0.00666337,0.712122,0.0,0.0,0.0,0.0,0.0,0.7,0.3,20.0,120.0,0.0,0.0,0.0,0.0,0.0,0.0,30,3,6.6633700000000005
12.0,2.0,25.0,300.0,100.0,64.0,200.0,200.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.4,2940.0,18788.0,3416.0,32340.0,0.580952,0.00173899,553119.0,0.0,10556.0,8932.0,6045.0,118.0,6045.0,0.005,0.624264,0.0,0.0,0.0,0.0,0.0,0.7,0.3,20.0,120.0,0.0,0.0,0.0,0.0,0.0,0.0,30,4,5.0
12.0,2.0,25.0,300.0,100.0,64.0,200.0,200.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.4,2940.0,23474.0,4268.0,32340.0,0.72585,0.000840633,691075.0,0.0,9542.0,8074.0,3670.0,118.0,3670.0,0.005,0.668196,0.0,0.0,0.0,0.0,0.0,0.7,0.3,20.0,120.0,0.0,0.0,0.0,0.0,0.0,0.0,30,5,5.0
12.0,2.0,25.0,300.0,100.0,64.0,200.0,200.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.4,2940.0,10747.0,1954.0,32340.0,0.332313,0.00380809,316392.0,0.0,17407.0,14729.0,12206.0,118.0,12206.0,0.005,0.492459,0.0,0.0,0.0,0.0,0.0,0.7,0.3,20.0,120.0,0.0,0.0,0.0,0.0,0.0,0.0,40,1,5.0
12.0,2.0,25.0,300.0,100.0,64.0,200.0,200.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.4,2940.0,12263.0,2229.0,32340.0,0.37919,0.00113787,361023.0,0.0,21203.0,17941.0,5857.0,118.0,5857.0,0.005,0.492442,0.0,0.0,0.0,0.0,0.0,0.7,0.3,20.0,120.0,0.0,0.0,0.0,0.0,0.0,0.0,40,2,5.0
12.0,2.0,25.0,300.0,100.0,64.0,200.0,200.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.4,2940.0,26411.0,4802.0,32340.0,0.816667,0.000743007,777540.0,0.0,6370.0,5390.0,1960.0,101.0,1952.0,0.00957426,0.712119,0.0,0.0,0.0,0.0,0.0,0.7,0.3,20.0,120.0,0.0,0.0,0.0,0.0,0.0,0.0,40,3,9.574259999999999
12.0,2.0,25.0,300.0,100.0,64.0,200.0,200.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.4,2940.0,18788.0,3416.0,32340.0,0.580952,0.00173899,553119.0,0.0,10556.0,8932.0,6045.0,118.0,6045.0,0.005,0.624264,0.0,0.0,0.0,0.0,0.0,0.7,0.3,20.0,120.0,0.0,0.0,0.0,0.0,0.0,0.0,40,4,5.0
12.0,2.0,25.0,300.0,100.0,64.0,200.0,200.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.4,2940.0,23474.0,4268.0,32340.0,0.72585,0.000840633,691075.0,0.0,9542.0,8074.0,3670.0,118.0,3670.0,0.0050339,0.668195,0.0,0.0,0.0,0.0,0.0,0.7,0.3,20.0,120.0,0.0,0.0,0.0,0.0,0.0,0.0,40,5,5.0339
12.0,2.0,25.0,300.0,100.0,64.0,200.0,200.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.4,2940.0,10747.0,1954.0,32340.0,0.332313,0.00380809,316392.0,0.0,17407.0,14729.0,12206.0,118.0,12206.0,0.005,0.492459,0.0,0.0,0.0,0.0,0.0,0.7,0.3,20.0,120.0,0.0,0.0,0.0,0.0,0.0,0.0,50,1,5.0
12.0,2.0,25.0,300.0,100.0,64.0,200.0,200.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.4,2940.0,12263.0,2229.0,32340.0,0.37919,0.00113787,361023.0,0.0,21203.0,17941.0,5857.0,118.0,5857.0,0.0050678,0.492441,0.0,0.0,0.0,0.0,0.0,0.7,0.3,20.0,120.0,0.0,0.0,0.0,0.0,0.0,0.0,50,2,5.0678
12.0,2.0,25.0,300.0,100.0,64.0,200.0,200.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.4,2940.0,26411.0,4802.0,32340.0,0.816667,0.000743007,777540.0,0.0,6370.0,5390.0,1960.0,100.0,1952.0,0.01131,0.712118,0.0,0.0,0.0,0.0,0.0,0.7,0.3,20.0,120.0,0.0,0.0,0.0,0.0,0.0,0.0,50,3,11.31
12.0,2.0,25.0,300.0,100.0,64.0,200.0,200.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.4,2940.0,18788.0,3416.0,32340.0,0.580952,0.00173899,553119.0,0.0,10556.0,8932.0,6045.0,117.0,6001.0,0.00511966,0.62426,0.0,0.0,0.0,0.0,0.0,0.7,0.3,20.0,120.0,0.0,0.0,0.0,0.0,0.0,0.0,50,4,5.11966
12.0,2.0,25.0,300.0,100.0,64.0,200.0,200.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.4,2940.0,23474.0,4268.0,32340.0,0.72585,0.000840633,691075.0,0.0,9542.0,8074.0,3670.0,116.0,3650.0,0.007,0.668197,0.0,0.0,0.0,0.0,0.0,0.7,0.3,20.0,120.0,0.0,0.0,0.0,0.0,0.0,0.0,50,5,7.0
